#,jid,username,name,country,1A,1B,1C,2A,2B,2C,total,medal
1,JIDUSERl61AaPS5fGj7mntJdCiB,Benq,Benjamin Qi,USA,100,100,100,100,100,100,600,G
1,JIDUSERoAyCGh5EKkmEWGXQKO96,iafir,Wiwit Rifa'i,IDN,100,100,100,100,100,100,600,G
1,JIDUSERel6y3FxiXyySbOLUhWDe,duality,Zixiang Zhou,CAN,100,100,100,100,100,100,600,G
1,JIDUSERLEZF3WdxcVzKy1VOnPuz,almogwald,almog wald,ISR,100,100,100,100,100,100,600,G
1,JIDUSERNBVIcFwa3XfjzN9VPTV7,bortoz,Alessandro Bortolin,ITA,100,100,100,100,100,100,600,G
1,JIDUSERmiqGvAIqT77imrJ4YdPW,AMnu,Abdul Malik Nurrokhman,IDN,100,100,100,100,100,100,600,G
1,JIDUSERH5d9K0M9natTQRGDtxlH,patrick,Nicholas Patrick,IDN,100,100,100,100,100,100,600,G
1,JIDUSERHKHZPXZsfgLs5spW9J3J,roee.sinai,,,100,100,100,100,100,100,600,G
1,JIDUSER9oCEQ1fKKtE0JnOZR29K,FaustaAD,R. Fausta Anugrah Dianparama,IDN,100,100,100,100,100,100,600,G
1,JIDUSERXNSSio8HAtUyIG7kfLLe,mosesmayer,Moses Mayer,IDN,100,100,100,100,100,100,600,G
1,JIDUSERZzjLpN0Z3uk2C5POdldd,Malfple,,IDN,100,100,100,100,100,100,600,G
1,JIDUSERJLZZSzn5PY5GzwsThtZu,vincealek,Vincent Ling,IDN,100,100,100,100,100,100,600,G
13,JIDUSERpY9noJCJtq4Cxu61JDly,rfpermen,Rico Filberto,IDN,100,100,99,100,100,100,599,G
14,JIDUSERv3rnHmCtausOwqlOOP78,Rudy420,Rudi,,100,100,94,100,100,100,594,G
15,JIDUSERdkYFnr5xlP6nicCvgMHT,dascogabriel,Dasco Gabriel,IDN,100,100,93,100,100,100,593,G
16,JIDUSERzUpIMfiSmaOOUOd0fzdK,forelax,Martin,,100,100,91,100,100,100,591,G
17,JIDUSERRcheGWFnarBwDfdjYFa7,Budi145,Budiman Arbenta,IDN,100,100,86,100,100,100,586,G
18,JIDUSERgIfwowkd3U6prJRnT6gq,hocky,Hocky Yudhiono,IDN,100,100,85,100,100,100,585,G
19,JIDUSER879uH95bu810RPzgLNTb,Noam527,Noam Gutterman,ISR,100,100,84,100,100,100,584,G
20,JIDUSERjHUiWIozLkwI5tYpj87H,rafaelherman,Rafael Herman Yosef,,100,100,83,100,100,100,583,G
21,JIDUSERmwcEsRnPtQyf936SUPw0,galang,Galangkangin Gotera,IDN,100,100,82,100,100,100,582,G
22,JIDUSERoi1wnj8s3l2FT3PAGTUE,claudy,Claudiu Babin,MDA,100,100,79,100,100,100,579,G
23,JIDUSERZlaQzBOpYlBrHeFsuUOD,Rudy6969,Alexandru Rudi,MDA,100,100,96,100,100,82,578,G
23,JIDUSERtDpxAAX1zVxlSdN7lCzS,Firastic,Adyaksa Wisanggeni,IDN,100,100,78,100,100,100,578,G
23,JIDUSER0wxoJXuq01iNbe4KXJmz,dasper,Tony,IDN,100,100,78,100,100,100,578,G
26,JIDUSERS411IaQ6lJhDtefKhFUd,Alpha.S,Muhammad Salman Al-Farisi,IDN,100,100,77,100,100,100,577,G
27,JIDUSERoaArjHiM9iROyNWZnAAC,sergiovieri,Sergio Vieri,IDN,100,100,76,100,100,100,576,G
27,JIDUSEReHkKO0DV0KgXdtqAkoXd,Ace,Andreas C.,IDN,100,100,76,100,100,100,576,G
29,JIDUSERmgP4O30p73QWsal0UARH,SamAnd,Samvel Andreasyan,ARM,100,100,75,100,100,100,575,G
30,JIDUSER1I8LpKYrMiclFRuGTYrS,ardan,Muhamad Achir Suci Ramadhan,IDN,100,100,73,100,100,100,573,G
31,JIDUSER6lxohr1pKL63zKhgIklq,limEmil,Emil,ARM,100,100,71,100,100,100,571,G
32,JIDUSERUjPXjBT5gjhctftgUeq7,mraron,,HUN,100,100,69,100,100,100,569,G
33,JIDUSERiliSpgia4PLBGvL6PE0m,thebes,George Chen,CAN,100,100,86,100,100,82,568,G
34,JIDUSERuHQiZEmUbdsGd2ypDDsh,davitmarg,Davit,ARM,100,100,83,100,100,82,565,G
35,JIDUSERrCI5ZMJLhhRy6sfmXL2m,Abelyan,Aleksandr Abelyan,ARM,100,100,64,100,100,100,564,G
36,JIDUSERmvJSSOv1fYTW1uEKj4qq,itayy,,,100,100,61,100,100,100,561,G
37,JIDUSERv8vSU59FftKzb4XQw4mM,kumanovche,Andrej,,100,100,84,100,73,100,557,G
38,JIDUSER0w3qtcEFnxgCZRacv1n9,Irhaml,Muhammad Irham Luthfi,IDN,100,100,80,100,100,59,539,G
38,JIDUSER3Jhvm5QLZQ3VcWMkw0vN,dickynovanto1103,Dicky Novanto,IDN,100,57,82,100,100,100,539,G
40,JIDUSERvNSbT0e3GOjqaTuEErHd,osdajigu,Osman Jimenez,,100,100,30,100,100,100,530,G
41,JIDUSEREsvT5u0nNNx1ep2luFJf,Vlatko,Vladimir Sharkovski,MKD,100,100,76,100,45,100,521,G
42,JIDUSERGWlhyeqOVIb5gJgbyppP,Vardanyan,,ARM,100,100,78,100,45,82,505,G
43,JIDUSERJdEZFy6xHecsRTPFYk3H,plains4,Sebastian Mualim,IDN,100,100,,100,100,100,500,G
43,JIDUSER8RTu0pGquVp25C3NTKUy,phillohambali,Phillo Hambali Tunru,IDN,100,100,,100,100,100,500,G
45,JIDUSERms6bdCnrZEivuQHkcqO2,AVM.Martin,Andreas Martin,IDN,100,100,36,100,100,59,495,G
46,JIDUSER95tjeKWSneDGiCWYiAT4,Blagojce,Blagojce,,100,100,35,100,73,82,490,G
47,JIDUSERQNaGtgok8EwrbOd5EyFU,tasmeemreza,Tasmeem Reza,BGD,100,100,80,100,0,100,480,G
48,JIDUSER0BrjAq5ke4FU90Q9pLVF,Howard,Howard,IDN,100,14,80,84,100,100,478,G
49,JIDUSERDClJtWramxcj48bCtp8c,118907,Annejan,NLD,100,100,75,100,100,,475,G
50,JIDUSEREbtv1XizmC7QgkBSCt1x,Noam13,Noam,ISR,100,100,66,100,100,,466,G
51,JIDUSERQDtBWsOhRcIht8pbHZXS,Runtime_error_,M.Nour Massri,,100,100,57,100,,100,457,G
52,JIDUSERQfX0otFCgQ9W7Bvicil7,CreedBratton,Creed Bratton,,100,57,72,41,100,82,452,G
53,JIDUSERjbQiE0pwLdhWgx99JyWD,davi_bart,Davide Bartoli,ITA,100,5,73,100,73,100,451,G
54,JIDUSER8yYuybDNfQggiROba4PK,npc_183,Fukjianto Tanjaya,IDN,100,57,70,41,100,59,427,G
55,JIDUSERoQUawXhy6zeLKTfdAJCS,teslashe,Christine Lynn,HKG,100,57,68,100,0,100,425,G
56,JIDUSER7V7OV9MLqykNodY7BXUf,miguel,Mihail Lavric,MDA,100,27,30,84,100,82,423,G
57,JIDUSERMb9BdmrLKVKVzlJMUlBZ,ekeitaro,,,100,57,,100,62,100,419,G
58,JIDUSEROKe7D5I3uYKdvV4IIaYd,killB0x,killB0x,MDA,100,14,30,84,100,82,410,G
59,JIDUSERB2Tt4qjOSkZp0IMgxJP8,than_duran98,Gabriela Nathania H.,IDN,100,57,52,100,100,,409,G
60,JIDUSERlikfw0HNMEGJ5HHd6lGE,ipul23,Saeful Ramadhan,IDN,100,100,47,100,45,,392,S
61,JIDUSERDSmilktCqWbLF48xYw4y,moondemon68,Morgen,IDN,100,27,66,41,73,82,389,S
62,JIDUSERzVYt9Z7dj2VFPya3NOhi,wirabdillah,Wira Abdillah S,IDN,100,100,26,62,,100,388,S
63,JIDUSER2SPVhmr71oeAnz8etNba,KerakTelor,Richard Alison,IDN,100,100,,100,0,82,382,S
63,JIDUSERAWxvOA8cJxQ147J7hTaY,AndrejSh3,Andrej,,100,27,82,14,100,59,382,S
65,JIDUSERuS9g8ogEYZ7lcEb9k7fB,OwenUltima,Owen,IDN,100,27,56,84,53,59,379,S
66,JIDUSERyI6Nj31BlSfZ4qRar0d2,Wie,Jauhar Wibisono,IDN,100,27,64,63,42,82,378,S
